,title,genres,vote_average,popularity,ratio_likeable
0,Revolutionary Road,0.906,0.67,0.023,0.5938972214917688
1,Smiling Fish & Goat On Fire,0.725,0.7,0.0,0.5866175789173301
2,Red Sonja,0.122,0.5,0.015,0.566601842151274
3,Warcraft,0.122,0.63,0.072,0.6101398242829055
4,Damnation Alley,0.157,0.5,0.003,0.5629393688907187
5,Pink Flamingos,0.592,0.62,0.005,0.578714862460134
6,The Queen,0.812,0.68,0.022,0.5909514471048202
7,Babe,0.619,0.6,0.039,0.5875387647045682
8,Get Him to the Greek,0.575,0.59,0.02,0.5821243051253963
9,On The Downlow,0.812,0.6,0.0,0.574442516811659
